index,prompt,model,resolution,video_url,local_path,status
1,An influencer speaks about a new shampoo product to the camera,wan-video/wan-2.2-5b-fast,720p,https://replicate.delivery/xezq/AbwTNfLPHDV7ICvzFRxjQk6p4dUcfiILo5TsRE0wk8yuxBLVA/output.mp4,video_outputs/wan_5b_720p/video_01.mp4,success
2,"A red sports car drifts through neon-lit Tokyo streets at night, rain-slick asphalt, cinematic slow motion",wan-video/wan-2.2-5b-fast,720p,https://replicate.delivery/xezq/Aq1HSVCcmOZeDaqqFXemyEiN4mCWlOFadjAIlK1Utob8xBLVA/output.mp4,video_outputs/wan_5b_720p/video_02.mp4,success
3,"A barista preparing coffee in a cozy cafe, pouring a latte art.",wan-video/wan-2.2-5b-fast,720p,https://replicate.delivery/xezq/W30jedtquzw3FiwYvzPSdNHF1ql7uH8IULhGgbeQsHEuxBLVA/output.mp4,video_outputs/wan_5b_720p/video_03.mp4,success
4,A man takes a tense phone call bathed in dark neon green light — shadows flicker across his worried face,wan-video/wan-2.2-5b-fast,720p,https://replicate.delivery/xezq/HCwP4E22g0r8MVdtFpAbeF02ldj2LEyFUTPnuzKrECJA5glKA/output.mp4,video_outputs/wan_5b_720p/video_04.mp4,success
5,"A chef flames a wok in a bustling kitchen, sparks and steam, dynamic close-up macro shots",wan-video/wan-2.2-5b-fast,720p,https://replicate.delivery/xezq/2aByyh90vpasL1sXUBdmN6FZjfWHwsYWVGFEfYwRvn2KyBLVA/output.mp4,video_outputs/wan_5b_720p/video_05.mp4,success
6,A dog is riding on a skateboard down a hill,wan-video/wan-2.2-5b-fast,720p,https://replicate.delivery/xezq/yUqnBe1IiKxwFCQN7XC829AHaMiwdrTkXSx8uflK7COgyBLVA/output.mp4,video_outputs/wan_5b_720p/video_06.mp4,success
7,A man and a woman have an engaging conversation,wan-video/wan-2.2-5b-fast,720p,https://replicate.delivery/xezq/9Tkg4DkF7fSaHSxs5JNflA5GFgnnBh3bAarcMduzaflllDWqA/output.mp4,video_outputs/wan_5b_720p/video_07.mp4,success
8,"A woman in a red trench coat is running frantically in the rain, she is visibly confused and upset",wan-video/wan-2.2-5b-fast,720p,https://replicate.delivery/xezq/rB5LhT8Xwa4UONpoWqEyGr9aBOrvKTr6Qb4ozzJaGkqucwSF/output.mp4,video_outputs/wan_5b_720p/video_08.mp4,success
9,"A mountain biker descends a forest trail at golden hour, handheld action camera feel",wan-video/wan-2.2-5b-fast,720p,https://replicate.delivery/xezq/oG27gV7m8HprDdLeZEjUWFmlWblp2Di7MWRLwroXXhEg5glKA/output.mp4,video_outputs/wan_5b_720p/video_09.mp4,success
10,A train emerges from a tunnel into a snowy landscape as steam billows from it,wan-video/wan-2.2-5b-fast,720p,https://replicate.delivery/xezq/5PwYKFSgQH6VFhafG4JbE3w15eRpdwko3nzvIP9SYE4IzBLVA/output.mp4,video_outputs/wan_5b_720p/video_10.mp4,success
11,An elderly man feeding pigeons on a quiet bench in the city square.,wan-video/wan-2.2-5b-fast,720p,https://replicate.delivery/xezq/T2xIMRylEgpwAdDCzvdFNgnJJ9iKHfBy73eeQeMfAon6ZOYpC/output.mp4,video_outputs/wan_5b_720p/video_11.mp4,success
12,"A surfer rides a big turquoise wave, follow-cam from water level, sunlight glinting",wan-video/wan-2.2-5b-fast,720p,https://replicate.delivery/xezq/dtfcxGaDqjWlfkqhkw0fYcZHOvNTaZRobjaYHdNDRdAUnDWqA/output.mp4,video_outputs/wan_5b_720p/video_12.mp4,success
13,A cat does a backflip off a diving board at the Olympics,wan-video/wan-2.2-5b-fast,720p,https://replicate.delivery/xezq/xiBt3bUQr6IAPR5Qa9wLAorfPjAFtWjY0BYdm9ll6KG35glKA/output.mp4,video_outputs/wan_5b_720p/video_13.mp4,success
14,"With lightning speed, a cheetah darts through the golden savannah, its powerful limbs pounding the earth, sending up trails of dust as it races toward its prey.",wan-video/wan-2.2-5b-fast,720p,https://replicate.delivery/xezq/VnPSoqlQ1k55G1trlz1r6AysUd8IptxPBPhFprMtfSU85glKA/output.mp4,video_outputs/wan_5b_720p/video_14.mp4,success
15,"People dancing during an Indian Holi festival, throwing colorful powders in the air.",wan-video/wan-2.2-5b-fast,720p,https://replicate.delivery/xezq/cRMIED7x0wJUCRwBK8S1O2uCKY4btPCtJooJjBHq7zPCdwSF/output.mp4,video_outputs/wan_5b_720p/video_15.mp4,success
16,"A futuristic motorcycle speeds through a cyberpunk alley, holograms flicker, dynamic chase energy",wan-video/wan-2.2-5b-fast,720p,https://replicate.delivery/xezq/DtKtLfyvIei5s0vFiUlnfKS2mt0PVV9rkOYF3qVePA1IRHsUB/output.mp4,video_outputs/wan_5b_720p/video_16.mp4,success
