index,prompt,model,resolution,video_url,local_path,status
1,An influencer speaks about a new shampoo product to the camera,wan-video/wan-2.2-t2v-fast,480p,https://replicate.delivery/xezq/BAwfh6FUpl3MF6LfykAdrwZXMPcONGYT2yddaXDjRfKCqDWqA/output.mp4,video_outputs/wan_t2v_480p/video_01.mp4,success
2,"A red sports car drifts through neon-lit Tokyo streets at night, rain-slick asphalt, cinematic slow motion",wan-video/wan-2.2-t2v-fast,480p,https://replicate.delivery/xezq/mSffXZvbUohbCkTazts50mzXMdNJ51AA3ZkHhRXwwbNC1BLVA/output.mp4,video_outputs/wan_t2v_480p/video_02.mp4,success
3,"A barista preparing coffee in a cozy cafe, pouring a latte art.",wan-video/wan-2.2-t2v-fast,480p,https://replicate.delivery/xezq/chnZt7Ys7U72B9Q79KM0rY6z1gbAl5Wf2Zm4YTvbp7pf0BLVA/output.mp4,video_outputs/wan_t2v_480p/video_03.mp4,success
4,A man takes a tense phone call bathed in dark neon green light — shadows flicker across his worried face,wan-video/wan-2.2-t2v-fast,480p,https://replicate.delivery/xezq/DPk3famIgflOu0eG7vujDHZQM2kyZqkx2jIUIzafHndRWHsUB/output.mp4,video_outputs/wan_t2v_480p/video_04.mp4,success
5,"A chef flames a wok in a bustling kitchen, sparks and steam, dynamic close-up macro shots",wan-video/wan-2.2-t2v-fast,480p,https://replicate.delivery/xezq/NE7C9o8CCGKLKlEWGoreS5Jq5pcs9GOTMAU2ScLq3lky6glKA/output.mp4,video_outputs/wan_t2v_480p/video_05.mp4,success
6,A dog is riding on a skateboard down a hill,wan-video/wan-2.2-t2v-fast,480p,https://replicate.delivery/xezq/aj1oqOxBzJZfci3kSuAcgSFgVZn1gjfGQNJzGSf3bJYRrDWqA/output.mp4,video_outputs/wan_t2v_480p/video_06.mp4,success
7,A man and a woman have an engaging conversation,wan-video/wan-2.2-t2v-fast,480p,https://replicate.delivery/xezq/z0n6OzcxOsLNBRQUmfAIKjLhUyGIrbu9PB0sVWrGOyNE7glKA/output.mp4,video_outputs/wan_t2v_480p/video_07.mp4,success
8,"A woman in a red trench coat is running frantically in the rain, she is visibly confused and upset",wan-video/wan-2.2-t2v-fast,480p,https://replicate.delivery/xezq/epJWgQjr4wXDKasDqn5RznissY3cptUhYLoLfzw8LC9q2BLVA/output.mp4,video_outputs/wan_t2v_480p/video_08.mp4,success
9,"A mountain biker descends a forest trail at golden hour, handheld action camera feel",wan-video/wan-2.2-t2v-fast,480p,https://replicate.delivery/xezq/CC8zqp72Tar9MtSxOBC49iMfa821Tib7YmoDA7SdDaCm7glKA/output.mp4,video_outputs/wan_t2v_480p/video_09.mp4,success
10,A train emerges from a tunnel into a snowy landscape as steam billows from it,wan-video/wan-2.2-t2v-fast,480p,https://replicate.delivery/xezq/IPeLdzQ9QJSeq0PDTfKCijpt8oZcQlCCpxPQEzpnGVOeeOYpC/output.mp4,video_outputs/wan_t2v_480p/video_10.mp4,success
11,An elderly man feeding pigeons on a quiet bench in the city square.,wan-video/wan-2.2-t2v-fast,480p,https://replicate.delivery/xezq/hBtZ7zdzVf3ocytDeOVyxqOb7zenaWfY9ZNKSTpKzcmAgHsUB/output.mp4,video_outputs/wan_t2v_480p/video_11.mp4,success
12,"A surfer rides a big turquoise wave, follow-cam from water level, sunlight glinting",wan-video/wan-2.2-t2v-fast,480p,https://replicate.delivery/xezq/MRjD0QFHDM5XJtPuB85G3bPrVfPkipxvF5ojoQwjJf0R4BLVA/output.mp4,video_outputs/wan_t2v_480p/video_12.mp4,success
13,A cat does a backflip off a diving board at the Olympics,wan-video/wan-2.2-t2v-fast,480p,https://replicate.delivery/xezq/HtlIsZlDawJnHtNNkqI4kvetK87AkLKbmTYvbZVmSnRQ8glKA/output.mp4,video_outputs/wan_t2v_480p/video_13.mp4,success
14,"With lightning speed, a cheetah darts through the golden savannah, its powerful limbs pounding the earth, sending up trails of dust as it races toward its prey.",wan-video/wan-2.2-t2v-fast,480p,https://replicate.delivery/xezq/Le13FUAxXRy3DK0BNfwI6l5eFK8lmf9Evjk4ExQwwQhMjHsUB/output.mp4,video_outputs/wan_t2v_480p/video_14.mp4,success
15,"People dancing during an Indian Holi festival, throwing colorful powders in the air.",wan-video/wan-2.2-t2v-fast,480p,https://replicate.delivery/xezq/VDRkpOqpyupyHxXI0Qi7o53lDIXeJKy9gmC8S5osfkQA5BLVA/output.mp4,video_outputs/wan_t2v_480p/video_15.mp4,success
16,"A futuristic motorcycle speeds through a cyberpunk alley, holograms flicker, dynamic chase energy",wan-video/wan-2.2-t2v-fast,480p,https://replicate.delivery/xezq/qTNes7vCkPR9JyxQP6o5P06hcdUu74d49mnhazwwJwZr8glKA/output.mp4,video_outputs/wan_t2v_480p/video_16.mp4,success
